AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,SP500
65.53,134.44,83.84,30.52,102.32,96.39,166.23,135.46,160.04,2183.87
65.36,134.99,83.59,30.63,101.94,95.87,166.26,135.34,160,2182.64
65.68,134.14,84.01,30.98,101.68,95.97,166.08,136.22,160.26,2186.9
65.16,133.29,83.15,31.06,102.2,95.82,165.3,135.06,159.05,2175.44
65,132.98,82.84,31.29,101.89,95.55,165.9,135.43,158.63,2172.47
64.79,132.23,82.66,31.35,101.32,95.21,165.97,134.36,158.32,2169.04
65.52,132.9,83.1,31.58,102.05,94.87,166.87,135.24,159.72,2180.38
65.45,130.81,82.48,31.54,101.7,94.86,169.37,134.1,159.4,2176.12
65.58,129.45,81.95,31.44,100.58,94.46,169.46,134.12,158.88,2170.95
64.86,129.9,81.45,31.58,100.21,94.26,168.51,134.23,159.54,2170.86
65.19,131.16,81.69,31.83,100.93,94.42,169.18,135.15,159.55,2179.98
65.76,132.99,82.08,31.87,102.43,93.8,169.33,134.1,160.35,2186.48
66.19,132.64,83.72,31.79,102.88,93.71,169.67,132.79,161.64,2186.16
66.24,132.9,83.54,31.47,104.12,94.09,171.66,131.26,159,2181.3
65.12,128.53,80.79,30.85,101.27,92.42,168.57,127.74,155.69,2127.81
65.9,130.12,81.92,31.44,102.25,93.64,171.06,128.59,158.29,2159.04
64.36,128.76,80.23,31.06,99.43,92.7,167,125.72,155.81,2127.02
63.48,127.67,81.02,31,98.42,92.26,166.16,126.26,154.05,2125.77
63.83,127.77,82.03,31.31,99.5,92.5,168.08,126.96,155.66,2147.26
63.66,126.7,82.05,30.84,97.84,92.56,166,126.11,153.84,2139.16
64.06,127.48,81.88,31.02,98.04,92.63,166.21,126.29,154.87,2139.12
63.72,127.79,81.7,31.1,97.7,92.95,166.47,126.83,154.45,2139.76
64.28,130.56,83.47,31.36,99.63,92.39,167.03,128.11,155.53,2163.12
64.63,131.87,83.5,31.66,99.98,93.41,168.02,128.75,156.11,2177.18
63.85,131.78,82.44,31.34,99.22,93.27,165.13,127.79,154.98,2164.69
63.42,130.57,82.37,31.07,98.78,91.96,161.48,125.45,153.98,2146.1
64.28,131.32,82.88,31.48,98.98,91.72,162.89,126.82,156.77,2159.93
64.22,132.23,86.59,31.5,102.15,92.2,163.45,128.27,158.29,2171.37
63.37,131.03,87.47,31.39,101.27,91.8,158.95,127.93,158.11,2151.13
64.04,131.74,88.77,31.72,102.92,92.86,161.27,128.68,158.85,2168.27
63.81,132.38,88.28,31.5,102.45,92.49,161.07,128.5,157.61,2161.2
63.91,132.25,87.51,31.35,101.27,92.59,162.27,128.2,156.46,2150.49
64.36,134.66,89.42,31.59,102.23,92.45,166.4,127.58,157.08,2159.73
61.94,134.42,89.29,31.48,102.18,92.83,167.15,130.19,156.88,2160.77
61.76,133.85,88.47,31.47,102.27,92.49,169.83,128.31,155.67,2153.74
61.9,135.84,88.22,31.47,103.98,92.49,171.04,127.25,157.02,2163.66
60.86,133.74,87.47,31.04,103.04,91.86,169.04,125.85,154.79,2136.73
60.69,133.16,87.58,30.34,102.15,91.41,169.3,126.69,154.29,2139.18
60.41,133.38,86.97,30.17,100.79,91.12,167.42,126.29,153.72,2132.55
60.15,133.5,87.67,30.18,101.08,91.3,170.52,126.42,154.45,2132.98
59.9,134,87.29,30.22,101.36,90.83,169,125.14,154.77,2126.5
60.08,135.1,87.22,30.44,101.79,91.17,172.63,125.74,150.72,2139.6
61.25,136.18,88,30.35,102.27,91.93,174.51,125.89,151.26,2144.29
66.78,135.84,86.63,30.16,101.87,92.03,174.51,126.25,151.52,2141.34
67.36,135.63,86.33,30.15,101.3,93.03,174.67,126.6,149.63,2141.16
67.09,137.45,85.99,30.46,100.66,93.37,175.12,127.78,150.57,2151.33
66.74,139.02,84.48,30.34,100.77,92.75,175.55,123.34,150.88,2143.16
66.8,145.54,84.13,30.55,101.19,93.49,177.07,122.71,151.81,2139.43
66.93,143.31,83.01,30.38,99.92,94.02,177.75,122.26,153.35,2133.04
66.45,143.01,83.88,30.59,103.82,93.85,177.14,123.58,152.61,2126.41
66.42,142.43,83.46,30.68,104.75,92.69,178.24,122.01,153.69,2126.15
66.25,142.41,82.24,30.48,106.48,92.39,178.06,119.89,152.79,2111.72
65.45,140.75,81.11,30.39,105.39,91.91,176.58,120.29,151.95,2097.94
